,word,freq,sentiment,Genre,Category
412,set,40,,,
413,strong,40,,,
414,thought,40,,,
415,wasnt,40,,,
416,women,40,,,
417,ages,39,,,
418,cinematography,39,,,
419,cool,39,,,
420,experience,39,,,
421,felt,39,,,
422,flawless,39,,,
423,highest,39,,,
424,hope,39,,,
425,looking,39,,,
426,loved,39,,,
427,man,39,,,
428,past,39,,,
429,performance,39,,,
430,popcorn,39,,,
431,romance,39,,,
432,shot,39,,,
433,telling,39,,,
434,colorful,38,,,
435,entire,38,,,
436,everybody,38,,,
437,explosions,38,,,
438,incredible,38,,,
439,main,38,,,
440,may,38,,,
441,que,38,,,
442,superb,38,,,
443,awards,37,,,
444,bluray,37,,,
445,charm,37,,,
446,guitar,37,,,
447,intense,37,,,
448,kind,37,,,
449,romp,37,,,
450,saw,37,,,
451,spanish,37,,,
452,won,37,,,
453,boring,36,,,
454,comes,36,,,
455,criticism,36,,,
456,making,36,,,
457,presented,36,,,
458,subtext,36,,,
459,times,36,,,
460,yes,36,,,
461,youre,36,,,
462,actionadventure,35,,,
463,delight,35,,,
464,derringdo,35,,,
465,ease,35,,,
466,everyone,35,,,
467,fantastic,35,,,
468,fearless,35,,,
469,goes,35,,,
470,historical,35,,,
471,holds,35,,,
472,hues,35,,,
473,ironic,35,,,
474,loose,35,,,
475,richly,35,,,
476,rightly,35,,,
477,socially,35,,,
478,believe,34,,,
479,bravery,34,,,
480,catapults,34,,,
481,dashing,34,,,
482,embodied,34,,,
483,epics,34,,,
484,exists,34,,,
485,kids,34,,,
486,mans,34,,,
487,moralistic,34,,,
488,pageantry,34,,,
489,picture,34,,,
490,played,34,,,
491,pretend,34,,,
492,rank,34,,,
493,second,34,,,
494,series,34,,,
495,simply,34,,,
496,stop,34,,,
497,use,34,,,
498,witty,34,,,
499,aware,33,,,
500,bigscreen,33,,,
501,buckles,33,,,
502,cars,33,,,
503,concentrates,33,,,
504,confidence,33,,,
505,curtizs,33,,,
506,cynical,33,,,
507,dawson,33,,,
508,deservedly,33,,,
509,exuding,33,,,
510,fairbanks,33,,,
511,flaunting,33,,,
512,folklore,33,,,
513,handsome,33,,,
514,hard,33,,,
515,highspirited,33,,,
516,immortan,33,,,
517,jaunty,33,,,
518,klieglight,33,,,
519,korngold,33,,,
520,lighthearted,33,,,
521,myth,33,,,
522,peerless,33,,,
523,performs,33,,,
524,prankish,33,,,
525,regarded,33,,,
526,satisfyingâ…,33,,,
527,spirits,33,,,
528,swashbucklerâ…,33,,,
529,swashes,33,,,
530,technicolor,33,,,
531,understand,33,,,
532,actors,32,,,
533,audience,32,,,
534,chases,32,,,
535,must,32,,,
536,place,32,,,
537,simple,32,,,
538,trying,32,,,
539,unique,32,,,
540,fast,31,,,
541,guy,31,,,
542,hes,31,,,
543,hoult,31,,,
544,imperator,31,,,
545,line,31,,,
546,might,31,,,
547,anyone,30,,,
548,art,30,,,
549,care,30,,,
550,find,30,,,
551,getting,30,,,
552,insane,30,,,
553,instead,30,,,
554,left,30,,,
555,metal,30,,,
556,narrative,30,,,
557,performances,30,,,
558,reboot,30,,,
559,sequence,30,,,
560,stunt,30,,,
561,watched,30,,,
562,words,30,,,
563,cast,29,,,
564,day,29,,,
565,fact,29,,,
566,half,29,,,
567,idea,29,,,
568,impressive,29,,,
569,packed,29,,,
570,probably,29,,,
571,reason,29,,,
572,said,29,,,
573,weird,29,,,
574,excellent,28,,,
575,finally,28,,,
576,help,28,,,
577,less,28,,,
578,part,28,,,
579,post,28,,,
580,society,28,,,
581,therons,28,,,
582,thrill,28,,,
583,truck,28,,,
584,used,28,,,
585,vehicle,28,,,
586,female,27,,,
587,furious,27,,,
588,heart,27,,,
589,lack,27,,,
590,maybe,27,,,
591,style,27,,,
592,takes,27,,,
593,three,27,,,
594,thrilling,27,,,
595,youll,27,,,
596,despite,26,,,
597,enjoyed,26,,,
598,exhilarating,26,,,
599,live,26,,,
600,moments,26,,,
601,seeing,26,,,
602,start,26,,,
603,expect,25,,,
604,fan,25,,,
605,feels,25,,,
606,flick,25,,,
607,hell,25,,,
608,literally,25,,,
609,minutes,25,,,
610,opinion,25,,,
611,pure,25,,,
612,sequel,25,,,
613,shots,25,,,
614,water,25,,,
615,always,24,,,
616,course,24,,,
617,face,24,,,
618,favorite,24,,,
619,least,24,,,
620,lots,24,,,
621,rather,24,,,
622,rating,24,,,
623,taking,24,,,
624,badass,23,,,
625,blood,23,,,
626,came,23,,,
627,dark,23,,,
628,direction,23,,,
629,drive,23,,,
630,easily,23,,,
631,huge,23,,,
632,let,23,,,
633,lovely,23,,,
634,nicholas,23,,,
635,plays,23,,,
636,seem,23,,,
637,terrible,23,,,
638,adrenaline,22,,,
639,completely,22,,,
640,especially,22,,,
641,feeling,22,,,
642,feminist,22,,,
643,found,22,,,
644,joes,22,,,
645,mind,22,,,
646,previous,22,,,
647,scale,22,,,
648,sets,22,,,
649,tell,22,,,
650,throughout,22,,,
651,thunderdome,22,,,
652,totally,22,,,
653,waste,22,,,
654,ass,21,,,
655,blockbuster,21,,,
656,fight,21,,,
657,guys,21,,,
658,hero,21,,,
659,liked,21,,,
660,mean,21,,,
661,perhaps,21,,,
662,playing,21,,,
663,reviews,21,,,
664,short,21,,,
665,viewing,21,,,
666,whose,21,,,
667,worst,21,,,
668,basic,20,,,
669,citadel,20,,,
670,critics,20,,,
671,decade,20,,,
672,detail,20,,,
673,different,20,,,
674,emotional,20,,,
675,fucking,20,,,
676,heavy,20,,,
677,history,20,,,
678,honestly,20,,,
679,hype,20,,,
680,lets,20,,,
681,remember,20,,,
682,rotten,20,,,
683,someone,20,,,
684,storytelling,20,,,
685,wives,20,,,
686,works,20,,,
687,attention,19,,,
688,barely,19,,,
689,basically,19,,,
690,become,19,,,
691,bizarre,19,,,
692,close,19,,,
693,create,19,,,
694,driving,19,,,
695,exactly,19,,,
696,fine,19,,,
697,fresh,19,,,
698,men,19,,,
699,moment,19,,,
700,return,19,,,
701,run,19,,,
702,super,19,,,
703,trilogy,19,,,
704,wasteland,19,,,
705,wont,19,,,
706,boys,18,,,
707,brings,18,,,
708,called,18,,,
709,captured,18,,,
710,death,18,,,
711,extremely,18,,,
712,game,18,,,
713,gas,18,,,
714,gives,18,,,
715,human,18,,,
716,ill,18,,,
717,name,18,,,
718,next,18,,,
719,overall,18,,,
720,puts,18,,,
721,recommend,18,,,
722,stuff,18,,,
723,surprisingly,18,,,
724,white,18,,,
725,wonderful,18,,,
726,breath,17,,,
727,carnage,17,,,
728,deserves,17,,,
729,disappointed,17,,,
730,easy,17,,,
731,escape,17,,,
732,fully,17,,,
733,gave,17,,,
734,hardys,17,,,
735,keep,17,,,
736,looked,17,,,
737,others,17,,,
738,piece,17,,,
739,possibly,17,,,
740,rush,17,,,
741,script,17,,,
742,single,17,,,
743,straight,17,,,
744,taken,17,,,
745,tomatoes,17,,,
746,TRUE,17,,,
747,turn,17,,,
748,visceral,17,,,
749,woman,17,,,
750,acciãn,16,,,
751,achievement,16,,,
752,becomes,16,,,
753,biggest,16,,,
754,brutal,16,,,
755,case,16,,,
756,compelling,16,,,
757,couldnt,16,,,
758,created,16,,,
759,creative,16,,,
760,depth,16,,,
761,either,16,,,
762,filmmaking,16,,,
763,finish,16,,,
764,follow,16,,,
765,gorgeous,16,,,
766,happens,16,,,
767,lead,16,,,
768,level,16,,,
769,solid,16,,,
770,title,16,,,
771,wait,16,,,
772,went,16,,,
773,able,15,,,
774,amount,15,,,
775,beginning,15,,,
776,boy,15,,,
777,budget,15,,,
778,costume,15,,,
779,die,15,,,
780,effect,15,,,
781,fiction,15,,,
782,fire,15,,,
783,forced,15,,,
784,guess,15,,,
785,happy,15,,,
786,horrible,15,,,
787,indeed,15,,,
788,keeps,15,,,
789,kinetic,15,,,
790,maxs,15,,,
791,needs,15,,,
792,outstanding,15,,,
793,person,15,,,
794,question,15,,,
795,science,15,,,
796,shame,15,,,
797,shes,15,,,
798,shit,15,,,
799,shows,15,,,
800,sort,15,,,
801,strange,15,,,
802,type,15,,,
803,viewer,15,,,
804,wonder,15,,,
805,word,15,,,
806,absolute,14,,,
807,actual,14,,,
808,beautifully,14,,,
809,bring,14,,,
810,due,14,,,
811,edge,14,,,
812,expecting,14,,,
813,eyes,14,,,
814,fans,14,,,
815,focus,14,,,
816,forward,14,,,
817,giving,14,,,
818,god,14,,,
819,havent,14,,,
820,heard,14,,,
821,leave,14,,,
822,madness,14,,,
823,manages,14,,,
824,moving,14,,,
825,overrated,14,,,
826,pace,14,,,
827,power,14,,,
828,relentless,14,,,
829,seat,14,,,
830,small,14,,,
831,storyline,14,,,
832,thin,14,,,
833,took,14,,,
834,universe,14,,,
835,upon,14,,,
836,ways,14,,,
837,wouldnt,14,,,
838,actions,13,,,
839,actor,13,,,
840,ago,13,,,
841,background,13,,,
842,behind,13,,,
843,blockbusters,13,,,
844,bored,13,,,
845,catch,13,,,
846,costumes,13,,,
847,damn,13,,,
848,decent,13,,,
849,del,13,,,
850,expectations,13,,,
851,group,13,,,
852,hands,13,,,
853,impact,13,,,
854,installment,13,,,
855,kill,13,,,
856,mask,13,,,
857,matter,13,,,
858,meet,13,,,
859,money,13,,,
860,motion,13,,,
861,pacing,13,,,
862,please,13,,,
863,possible,13,,,
864,setting,13,,,
865,shooting,13,,,
866,soundtrack,13,,,
867,surprised,13,,,
868,survival,13,,,
869,theater,13,,,
870,turned,13,,,
871,una,13,,,
872,valhalla,13,,,
873,version,13,,,
874,violent,13,,,
875,wild,13,,,
876,wow,13,,,
877,audiences,12,,,
878,australian,12,,,
879,bigger,12,,,
880,breathtaking,12,,,
881,built,12,,,
882,call,12,,,
883,chasing,12,,,
884,complete,12,,,
885,complex,12,,,
886,con,12,,,
887,dead,12,,,
888,dialog,12,,,
889,emotion,12,,,
890,essentially,12,,,
891,explosion,12,,,
892,exposition,12,,,
893,fighting,12,,,
894,forget,12,,,
895,grand,12,,,
896,guitarist,12,,,
897,hold,12,,,
898,home,12,,,
899,humanity,12,,,
900,leader,12,,,
901,led,12,,,
902,lines,12,,,
903,makeup,12,,,
904,mayhem,12,,,
905,mindless,12,,,
906,miss,12,,,
907,night,12,,,
908,overthetop,12,,,
909,proves,12,,,
910,rare,12,,,
911,redemption,12,,,
912,saying,12,,,
913,says,12,,,
914,scifi,12,,,
915,sheer,12,,,
916,silly,12,,,
917,somehow,12,,,
918,spent,12,,,
919,theatre,12,,,
920,themes,12,,,
921,told,12,,,
922,using,12,,,
923,whats,12,,,
924,worthy,12,,,
925,yeah,12,,,
926,antagonist,11,,,
927,astonishing,11,,,
928,awful,11,,,
929,battle,11,,,
930,became,11,,,
931,black,11,,,
932,chaotic,11,,,
933,clear,11,,,
934,clearly,11,,,
935,concept,11,,,
936,creating,11,,,
937,cult,11,,,
938,cut,11,,,
939,developed,11,,,
940,directors,11,,,
941,esta,11,,,
942,except,11,,,
943,expected,11,,,
944,explosive,11,,,
945,eye,11,,,
946,filmmakers,11,,,
947,hand,11,,,
948,hugh,11,,,
949,impossible,11,,,
950,interest,11,,,
951,knows,11,,,
952,light,11,,,
953,major,11,,,
954,mediocre,11,,,
955,memorable,11,,,
956,missing,11,,,
957,nice,11,,,
958,obviously,11,,,
959,ones,11,,,
960,opening,11,,,
961,originals,11,,,
962,parts,11,,,
963,perfectly,11,,,
964,play,11,,,
965,rest,11,,,
966,ridiculous,11,,,
967,seriously,11,,,
968,speed,11,,,
969,surprising,11,,,
