"","movies","unigood","bigood","trigood","unibad","bibad","tribad","V8"
"93","pointbreak",0.0358208955223881,0.0196285181279909,0.00168745856686555,0.0450746268656716,0.0337415848811745,0.00590610498402941,5
"94","lastwitch",0.0274755168661589,0.0289013143562559,0.00315676832530765,0.0554951033732318,0.0328225982136374,0.00465489566613162,5
"95","rockthe",0.0130571814497974,0.023568514881402,0.00358999752413964,0.0279153534443944,0.0284030820365614,0.00408516959643476,5
"96","sinister",0.0171738475444411,0.0254606621301323,0.00204182992108603,0.0473034046399518,0.0341769248413487,0.00458032117432813,5
"97","paranormal",0.0122801194822436,0.019964861843156,0.00192394748755093,0.0398274145370063,0.0288292605015173,0.00384789497510186,5
"98","fantasticfour",0.0704082780339669,0.0225899395734123,0.00159144210979754,0.11551006635924,0.0473008123574373,0.00554013305891925,5
"99","transporter",0.0179035518336702,0.0147405660377358,0.00141862264637606,0.043892578688998,0.0293969002695418,0.003997936548878,5
"100","stonewall",0.0133798720186155,0.0174491067719152,0.00204673375405083,0.0296684118673647,0.0330286663896967,0.00358178406958895,5
"101","gem",0.0200704225352113,0.024345295829292,0.00250718973527026,0.0355633802816901,0.0265761396702231,0.00449819334857311,5
"102","shanghai",0.0262820512820513,0.0263986437394042,0.00285423037716616,0.0192307692307692,0.0201017195446839,0.00468909276248726,5
